,set_num,name,year,theme_id,num_parts
0,5574,Weetabix Castle,1970,414,471
1,5087,Town Mini-Figures,1978,84,12
2,2216,Castle 2 for 1 Bonus Offer,1987,199,2
3,1414,Space Mini-Figures,1979,143,12
4,4609,Space Mini-Figures,1979,143,12
5,5004,Space Mini-Figures,1979,143,12
6,12208,Space Mini-Figures,1979,143,18
7,13351,Castle Mini Figures,1978,186,15
8,13813,Weetabix Promotional House 1,1976,413,147
9,898,Weetabix Promotional House 2,1976,413,149
10,1073,Weetabix Promotional Windmill,1976,413,126
11,2028,Basic Building Set in Cardboard,1965,366,35
12,2836,Special Offer,1985,67,3
13,3574,Weetabix Promotional Lego Village,1976,413,3
14,13468,Basic Building Set in Cardboard,1965,366,57
15,5080,Basic Building Set,1968,366,77
16,8404,Basic Building Set,1968,366,145
17,6832,Basic Building Set,1968,366,110
18,8957,The Race to Build It Board Game,1999,502,70
19,3372,Basic Building Set,1968,366,177
20,6772,Basic Building Set,1968,366,225
21,2962,Basic Building Set,1968,366,256
22,2650,Basic Building Set,1968,366,407
23,1973,Basic Building Set with Train,1967,366,710
24,13887,Super Set,1969,469,615
25,9986,Guarded Inn,2001,186,256
26,11090,Metroliner,2001,233,785
27,4904,Railroad Club Car,2001,233,272
28,14242,1 x 2 Sand Red Bricks,2001,254,100
29,7182,2 x 2 Sand Red Bricks,2001,254,100
30,5882,2 x 4 Sand Red Bricks,2001,254,50
31,15420,1 x 6 Sand Red Bricks,2001,254,50
32,6349,2 x 4 Sand Red Ridge Roof Tiles Steep Slope,2001,254,25
33,96,2 x 4 Roof Tile Sand Red,2001,254,50
34,11510,Assorted Blue Bricks,2001,254,62
35,15097,4.5V Motor with Wheels (Small Version),1966,243,16
36,11526,Assorted Yellow Bricks,2003,254,63
37,2286,Assorted Blue Plates,2001,254,42
38,5323,Assorted Yellow Plates,2001,254,42
39,1212,Open Freight Wagon,2001,238,121
40,3197,Caboose,2001,238,170
41,4222,Passenger Wagon,2001,238,194
42,13739,Tanker,2001,238,128
43,931,Hopper Wagon,2001,238,228
44,14521,Darth Maul,2001,158,1868
